Bird,Song,Rand,Block,Ideal Time,Played
CB0,BOD,0.8448698742,1,6:30 AM,0
CB0,FBGM_27-over-BDY,0.2538201185,1,8:00 AM,0
CB0,BDY,0.1602115245,1,3:30 PM,0
CB0,LB,0.3888840784,1,5:00 PM,0
CB0,FBGM_27-over-LB,0.4799421615,1,11:00 AM,0
CB0,FBGM_27-over-BOD,0.1588973761,1,2:00 PM,0
CB0,FBGM_27-over-DMG,0.53111142,1,12:30 PM,0
CB0,DMG,0.445486611,1,8:00 AM,0
CB0,FBGM_27-over-DMG,0.1684313202,2,9:30 AM,0
CB0,FBGM_27-over-LB,0.5299240318,2,6:30 AM,0
CB0,BDY,0.8442667893,2,11:00 AM,0
CB0,LB,0.5226536813,2,2:00 PM,0
CB0,FBGM_27-over-BDY,0.246792131,2,11:00 AM,0
CB0,DMG,0.9226778178,2,3:30 PM,0
CB0,FBGM_27-over-BOD,0.7347469568,2,5:00 PM,0
CB0,BOD,0.5845320011,2,6:30 AM,0
CB0,FBGM_27-over-DMG,0.2147630496,3,12:30 PM,0
CB0,FBGM_27-over-BOD,0.1044524457,3,9:30 AM,0
CB0,LB,0.8848390332,3,8:00 AM,0
CB0,FBGM_27-over-BDY,0.9598986483,3,9:30 AM,0
CB0,BDY,0.8882263091,3,2:00 PM,0
CB0,BOD,0.863657921,3,2:00 PM,0
CB0,DMG,0.5468863786,3,9:30 AM,0
CB0,FBGM_27-over-LB,0.1442719251,3,3:30 PM,0
CB0,LB,0.9620458146,4,6:30 AM,0
CB0,BOD,0.4105590639,4,12:30 PM,0
CB0,FBGM_27-over-LB,0.4485934724,4,8:00 AM,0
CB0,FBGM_27-over-BOD,0.8747548921,4,11:00 AM,0
CB0,DMG,0.4056431268,4,5:00 PM,0
CB0,BDY,0.02457775103,4,12:30 PM,0
CB0,FBGM_27-over-BDY,0.791154652,4,3:30 PM,0
CB0,FBGM_27-over-DMG,0.5807915887,4,5:00 PM,0
CB0,LB,0.6658291448,5,6:30 AM,0
CB0,DMG,0.03815540905,5,5:00 PM,0
CB0,FBGM_27-over-LB,0.1804473894,5,3:30 PM,0
CB0,BDY,0.451711143,5,11:00 AM,0
CB0,FBGM_27-over-BOD,0.6094170454,5,12:30 PM,0
CB0,BOD,0.3379926202,5,2:00 PM,0
CB0,FBGM_27-over-BDY,0.3676633616,5,9:30 AM,0
CB0,FBGM_27-over-DMG,0.6558804362,5,8:00 AM,0
CB0,DMG,0.5024002084,6,9:30 AM,0
CB0,BOD,0.3115522543,6,2:00 PM,0
CB0,FBGM_27-over-DMG,0.6181332589,6,8:00 AM,0
CB0,FBGM_27-over-BDY,0.6964809715,6,3:30 PM,0
CB0,FBGM_27-over-LB,0.09298620039,6,11:00 AM,0
CB0,FBGM_27-over-BOD,0.5700340375,6,8:00 AM,0
CB0,LB,0.3757343797,6,6:30 AM,0
CB0,BDY,0.495371376,6,5:00 PM,0
CB0,DMG,0.04253578832,7,12:30 PM,0
CB0,FBGM_27-over-LB,0.8385977051,7,6:30 AM,0
CB0,FBGM_27-over-BOD,0.6451529663,7,2:00 PM,0
CB0,LB,0.5591918579,7,3:30 PM,0
CB0,BOD,0.5314641697,7,9:30 AM,0
CB0,FBGM_27-over-DMG,0.1204327627,7,12:30 PM,0
CB0,BDY,0.175405123,7,9:30 AM,0
CB0,FBGM_27-over-BDY,0.5008124238,7,8:00 AM,0
CB0,BDY,0.8564187973,8,11:00 AM,0
CB0,DMG,0.6133431433,8,6:30 AM,0
CB0,FBGM_27-over-BOD,0.09540458399,8,11:00 AM,0
CB0,FBGM_27-over-BDY,0.2644221953,8,5:00 PM,0
CB0,LB,0.2305566088,8,6:30 AM,0
CB0,BOD,0.8858352519,8,5:00 PM,0
CB0,FBGM_27-over-LB,0.125996816,8,8:00 AM,0
CB0,FBGM_27-over-DMG,0.6340019948,8,11:00 AM,0
CB0,BDY,0.8005007032,9,12:30 PM,0
CB0,DMG,0.5042681463,9,2:00 PM,0
CB0,FBGM_27-over-BDY,0.8727626351,9,12:30 PM,0
CB0,LB,0.9926179469,9,9:30 AM,0
CB0,FBGM_27-over-BOD,0.101564705,9,2:00 PM,0
CB0,FBGM_27-over-LB,0.6434450693,9,3:30 PM,0
CB0,FBGM_27-over-DMG,0.9900272013,9,12:30 PM,0
CB0,BOD,0.8439194645,9,3:30 PM,0
CB0,FBGM_27-over-DMG,0.7870909543,10,5:00 PM,0
CB0,BOD,0.2100958516,10,9:30 AM,0
CB0,FBGM_27-over-BOD,0.1988930633,10,2:00 PM,0
CB0,BDY,0.3074196141,10,6:30 AM,0
CB0,FBGM_27-over-LB,0.4882559321,10,5:00 PM,0
CB0,FBGM_27-over-BDY,0.662019922,10,8:00 AM,0
CB0,LB,0.2407483653,10,11:00 AM,0
CB0,DMG,0.6555817738,10,3:30 PM,0